feature	ANAEROFRUCAT.PWY..homolactic.fermentation	ANAGLYCOLYSIS.PWY..glycolysis.III..from.glucose.	ARO.PWY..chorismate.biosynthesis.I	COA.PWY.1..coenzyme.A.biosynthesis.II..mammalian.	COA.PWY..coenzyme.A.biosynthesis.I	COMPLETE.ARO.PWY..superpathway.of.aromatic.amino.acid.biosynthesis	DENOVOPURINE2.PWY..superpathway.of.purine.nucleotides.de.novo.biosynthesis.II	DTDPRHAMSYN.PWY..dTDP.L.rhamnose.biosynthesis.I	HISTSYN.PWY..L.histidine.biosynthesis	PANTO.PWY..phosphopantothenate.biosynthesis.I	PANTOSYN.PWY..pantothenate.and.coenzyme.A.biosynthesis.I	PEPTIDOGLYCANSYN.PWY..peptidoglycan.biosynthesis.I..meso.diaminopimelate.containing.	PHOSLIPSYN.PWY..superpathway.of.phospholipid.biosynthesis.I..bacteria.	PWY.1042..glycolysis.IV..plant.cytosol.	PWY.2942..L.lysine.biosynthesis.III	PWY.3001..superpathway.of.L.isoleucine.biosynthesis.I	PWY.3841..folate.transformations.II	PWY.4242..pantothenate.and.coenzyme.A.biosynthesis.III	PWY.5097..L.lysine.biosynthesis.VI	PWY.5154..L.arginine.biosynthesis.III..via.N.acetyl.L.citrulline.	PWY.5667..CDP.diacylglycerol.biosynthesis.I	PWY.5686..UMP.biosynthesis
ESM7F5CF	224.617	345.301	432.063	599.799	513.053	437.081	318.262	862.158	539.445	534.69	520.106	584.427	164.168	628.848	566.3	558.737	587.048	532.569	551.071	279.383	574.386	623.618
ESM9IEP1	101.48	228.224	374.882	470.859	444.599	392.501	303.185	1140.58	583.191	453.659	464.192	892.08	215.325	895.33	719.693	377.391	568.963	399.644	714.583	270.918	299.812	934.476
HSM5FZBP_P	146.454	356.261	212.53	294.417	200.682	224.694	188.136	771.171	322.771	286.399	238.269	526.327	143.772	547.085	421.946	296.586	305.059	180.88	404.214	152.505	343.324	491.866
HSM5FZBQ_P	27.4725	87.9204	34.6997	60.4613	58.6052	37.8267	30.9006	160.319	79.4968	73.1018	64.3405	154.93	42.9726	161.251	90.1391	82.4315	83.4394	47.8231	87.4433	25.0159	50.2171	118.785
HSM5FZBR_P	159.639	440.656	213.685	348.428	264.361	230.618	222.919	889.635	421.09	349.729	313.969	642.926	23.8373	681.717	545.442	370.148	406.853	224.717	527.618	83.8923	541.921	624.562
HSM5FZBZ	208.367	412.382	261.745	341.935	225.572	282.726	192.396	1214.11	567.904	340.566	270.138	795.042	224.358	818.205	640.651	349.719	358.599	195.185	638.719	203.526	434.865	768.866
HSM5FZC2_P	126.755	391.774	238.3	307.742	235.199	252.936	219.095	865.343	376.585	354.491	287.493	570.648	16.9126	644.628	469.065	358.152	377.38	211.33	457.682	114.992	538.287	568.482
HSM5MD3L_P	170.084	254.817	280.372	271.112	242.413	243.609	229.877	450.925	246.295	249.136	239.57	277.577	140.02	370.705	264.922	229.103	309.863	250.433	278.234	189.439	301.941	340.119
HSM5MD3Y	297.668	467.326	442.845	408.155	338.83	420.118	263.27	561.512	334.63	374.613	352.13	435.77	257.426	609.855	347.421	315.929	385.076	350.602	360.308	224.715	415.69	476.952
HSM5MD41	281.899	434.239	316.879	431.266	386.523	321.038	246.958	803.671	471.866	437.584	407.942	439.931	215.182	462.964	447.41	408.428	452.673	390.158	435.731	195.984	475.31	483.582
HSM5MD43_P	113.791	308.541	311.392	342.685	297.607	296.887	230.841	626.2	369.876	301.931	293.701	327.068	209.562	349.679	259.252	314.986	327.951	309.807	273.58	199.102	358.256	382.765
HSM5MD43	217.502	400.046	390.988	431.919	368.083	371.446	303.312	782.99	451.319	366.898	367.909	406.961	277.071	462.233	333.795	396.079	398.281	382.774	349.332	256.142	438.365	476.93
HSM5MD44_P	50.0609	67.9631	75.6643	78.5374	65.5771	73.39	42.0087	78.3379	54.4767	43.4899	26.0673	68.7011	24.6104	70.3489	70.2921	70.5831	57.3115	62.8718	61.1678	9.08619	36.3102	68.4293
HSM5MD47_P	8.6753	9.10477	16.2039	14.6829	14.0765	15.5289	7.2829	16.2702	9.12683	7.97704	10.1742	14.7783	13.6438	26.6672	9.20788	22.8599	14.8117	13.1077	13.5089	10.3313	16.6404	24.0595
HSM5MD48	254.163	375.727	385.335	427.889	334.773	385.389	274.347	629.895	381.54	374.563	340.098	392.491	137.344	296.556	430	282.627	349.226	324.96	404.481	215.32	388.802	418.338
HSM5MD49_P	289.514	382.918	424.887	439.553	350.959	403.158	325.786	617.771	356.783	313.076	316.408	397.14	148.586	455.565	386.799	328.51	368.726	359.606	388.774	213.698	400.969	443.79
HSM5MD4A_P	258.738	365.755	473.354	499.42	410.012	421.097	271.678	513.254	328.893	320.53	347.822	428.235	95.556	549.303	355.553	269.233	418.511	442.211	398.012	97.8459	391.474	566.48
HSM5MD4B_P	258.793	406.748	442.323	456.191	367.715	425.503	358.143	643.436	376.648	370.216	355.262	414.292	191.037	475.66	410.479	351.468	404.64	374.607	397.754	208.729	433.731	498.557
HSM5MD4N	127.146	375.646	322.531	407.163	333.536	320.253	302.562	612.271	357.45	357.204	341.703	395.363	231.919	548.601	398.645	378.362	368.714	338.214	391.442	175.857	414.75	437.117
HSM5MD4O	205.33	384.574	363.041	425.677	357.965	352.085	335.093	642.703	376.747	374.434	355.472	405.376	139.84	572.54	403.378	380.916	387.211	364.578	410.423	223.973	421.631	468.061
HSM5MD4P_P	101.083	352.031	323.231	362.218	312.722	319.914	286.958	503.274	322.401	319.256	310.067	386.346	177.112	525.293	360.856	328.684	352.353	311.324	338.793	179.81	364.302	418.754
HSM5MD4U_P	313.28	372.383	232.321	411.952	383.498	244.441	111.698	620.762	458.54	403.522	389.658	452.837	237.321	306.447	453.658	327.681	483.131	389.102	436.185	286.943	449.523	462.544
HSM5MD4W_P	312.475	400.196	226.187	510.761	497.076	241.603	50.078	712.188	559.123	502.787	492.576	546.322	247.544	268.762	523.785	284.357	559.181	485.139	496.849	277.736	515.74	551.673
HSM5MD4Y	316.388	393.435	359.883	369.673	319.428	341.919	185.667	460.444	315.485	303.735	294.29	392.801	236.341	421.595	419.345	323.649	387.144	308.031	399.41	278.244	352.578	416.98
HSM5MD53	280.166	415.831	373.378	414.404	345.335	375.595	302.976	470.652	389.079	365.993	358.623	410.112	233.874	528.773	367.678	383.37	403	349.142	378.844	222.862	395.592	442.109
HSM5MD57_P	206.959	277.584	296.698	324.864	238.416	291.596	246.883	421.225	272.012	260.571	244.04	334.672	190.539	416.634	278.024	279.148	322.75	239.591	279.974	202.351	284.101	347.746
HSM5MD59_P	277.221	418.714	455.526	466.459	377.27	440.921	243.152	515.203	380.244	341.005	347.964	437.744	200.191	567.39	321.828	314.728	436.562	389.618	390.305	269.149	409.788	526.649
HSM5MD5B_P	239.753	355.857	415.257	428.842	361.586	400.167	226.388	463.822	367.817	305.112	322.228	404.71	182.387	492.075	336.793	331.915	404.815	372.532	394.018	260.759	382.447	487.748
HSM5MD5B	287.728	352.259	454.115	464.373	355.688	430.134	286.372	500.729	350.588	289.25	303.746	448.091	238.887	498.136	372.046	340.884	425.042	372.705	417.726	207.037	420.24	495.021
HSM5MD5D_P	165.577	272.662	345.286	384.75	309.321	327.43	220.513	476.203	317.203	269.229	280.833	346.262	82.6381	403.539	316.06	271.486	324.418	315.098	325.498	204.15	317.789	398.435
HSM5MD5D	211.53	381.14	513.307	486.708	407.059	479.373	301.597	667.705	433.504	349.948	358.266	479.94	74.4628	553.533	408.899	342.691	443.306	425.958	440.111	264.386	427.438	573.606
HSM5MD5F_P	187.622	242.288	261.964	258.809	195.116	243.424	194.582	267.536	196.099	191.451	182.61	259.111	201.894	337.403	227.865	228.071	225.724	198.982	228.824	167.831	237.971	268.047
HSM5MD5H_P	82.0661	178.08	111.094	151.572	132.92	116.398	120.068	393.831	164.703	146.95	140.341	241.795	5.9449	268.823	221.684	149.887	176.668	120.264	203.818	62.5504	223.761	249.765
HSM5MD5K_P	36.1063	122.712	37.4429	94.7505	48.1946	41.9736	57.0965	512.457	205.959	93.6468	65.0159	411.065	33.0239	388.675	308.257	98.4067	99.4421	42.2824	298.945	34.6278	148.068	395.677
HSM5MD5P	269.588	510.987	395.095	513.113	436.632	404.1	358.479	689.137	464.782	459.665	450.387	513.403	195.913	601.284	495.196	443.433	497.345	429.932	480.051	242.384	492.152	535.691
HSM5MD5X_P	175.714	284.721	311.397	295.197	246.695	290.168	252.262	433.193	274.107	246.146	237.452	324.084	204.36	406.365	263.739	255.274	269.677	256.84	261.425	220.402	319.606	296.703
